"annotation_id","annotator","created_at","id","img","kp-1","lead_time","updated_at"
7497,"3","2023-12-19T06:28:07.038679Z",10450,"/data/upload/54/d79104bb-CAM04_20231114_151430994.jpg","[{""x"":12.746553891121568,""y"":54.326665086978224,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.686127293271994,""y"":54.60421588434242,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.114710431651943,""y"":47.33238499340061,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.06,"2023-12-19T06:28:07.038694Z"
7498,"3","2023-12-19T06:28:18.944353Z",10451,"/data/upload/54/bea08a57-CAM04_20231114_151448884.jpg","[{""x"":12.751777673868695,""y"":54.29087947686918,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.832901982674855,""y"":54.535124178549665,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":22.23152515784265,""y"":47.57415018065575,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.109,"2023-12-19T06:28:18.944368Z"
7499,"3","2023-12-19T06:28:35.447765Z",10452,"/data/upload/54/c8001083-CAM04_20231114_151449073.jpg","[{""x"":12.921864427457944,""y"":54.29131051853092,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.903070449213,""y"":54.457840996949436,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.290020967988315,""y"":47.57458122231749,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",13.55,"2023-12-19T06:28:35.447780Z"
7500,"3","2023-12-19T06:28:49.795608Z",10453,"/data/upload/54/2174c244-CAM04_20231114_151449312.jpg","[{""x"":12.72147419511849,""y"":54.30360920243659,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.67102566312457,""y"":54.44123769699735,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.357662228805932,""y"":47.51393680410595,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",11.292,"2023-12-19T06:28:49.795623Z"
7501,"3","2023-12-19T06:29:03.319525Z",10454,"/data/upload/54/b39fdbdc-CAM04_20231114_151449515.jpg","[{""x"":12.67344629195128,""y"":54.255159547157895,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.488121835287814,""y"":54.53271034452209,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.45792902852794,""y"":47.593940410417304,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",10.839,"2023-12-19T06:29:03.319539Z"
7502,"3","2023-12-19T06:29:35.221157Z",10455,"/data/upload/54/aa8fecc2-CAM04_20231114_151449706.jpg","[{""x"":12.694042300149894,""y"":54.3256933981232,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.50871784348644,""y"":54.60324419548739,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.853218613168217,""y"":47.608964101909756,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",11.795,"2023-12-19T06:29:35.221172Z"
7503,"3","2023-12-19T06:29:44.675544Z",10456,"/data/upload/54/11560d38-CAM04_20231114_151449878.jpg","[{""x"":12.627914141792415,""y"":54.24006492178612,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.56748754394284,""y"":54.517615719150314,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.49566211757833,""y"":47.745376263464046,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",7.231,"2023-12-19T06:29:44.675560Z"
7504,"3","2023-12-19T06:30:26.488073Z",10457,"/data/upload/54/4dffaf95-CAM04_20231114_151450067.jpg","[{""x"":12.752837155268287,""y"":54.303833842262925,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.56751269860482,""y"":54.69240495857278,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.82874822907735,""y"":47.42057406763098,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",7.531,"2023-12-19T06:30:26.488090Z"
7505,"3","2023-12-19T06:30:38.489553Z",10458,"/data/upload/54/39cd8973-CAM04_20231114_151450256.jpg","[{""x"":12.624690950716314,""y"":54.360724158657646,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.5226317332621,""y"":54.63827495602184,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.40917368729297,""y"":47.4774643840257,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.214,"2023-12-19T06:30:38.489567Z"
7506,"3","2023-12-19T06:30:52.244149Z",10459,"/data/upload/54/cf358ee3-CAM04_20231114_151450518.jpg","[{""x"":12.596323953142502,""y"":54.33805748696597,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.41099949647904,""y"":54.5045879653845,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.797132885765446,""y"":47.56581803127971,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.396,"2023-12-19T06:30:52.244165Z"
7507,"3","2023-12-19T06:31:13.966944Z",10460,"/data/upload/54/17b3418d-CAM04_20231114_151450749.jpg","[{""x"":12.734420779394673,""y"":54.35994222106889,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.54076979881028,""y"":54.604186922749385,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.389842395196982,""y"":47.58215174943534,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.922,"2023-12-19T06:31:13.966959Z"
7508,"3","2023-12-19T06:31:27.254582Z",10461,"/data/upload/54/d87565d1-CAM04_20231114_151450982.jpg","[{""x"":12.733543501657483,""y"":54.26361058319753,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.5065864253894,""y"":54.54116138056173,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.434760999024885,""y"":47.491371127511265,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.599,"2023-12-19T06:31:27.254598Z"
7509,"3","2023-12-19T06:31:44.739985Z",10462,"/data/upload/54/f65b52f3-CAM04_20231114_151451176.jpg","[{""x"":12.69538294254069,""y"":54.23269466827387,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.468425866272604,""y"":54.62126578458375,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.604763537931234,""y"":47.626985691006126,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",9.661,"2023-12-19T06:31:44.740000Z"
7816,"3","2023-12-19T09:06:30.067982Z",10463,"/data/upload/54/e948d7d1-CAM04_20231114_151451504.jpg","[{""x"":12.59934646827415,""y"":54.255467155152324,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.497287250819944,""y"":54.533017952516516,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":17.678526060038855,""y"":39.60078505432302,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",11.335,"2023-12-19T09:06:30.067998Z"
7817,"3","2023-12-19T09:06:46.189744Z",10464,"/data/upload/54/ecb80853-CAM04_20231114_151451708.jpg","[{""x"":12.760975046104104,""y"":54.26395090194119,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.52152818395463,""y"":54.63031795446194,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.39386847861037,""y"":39.48714645027165,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",11.392,"2023-12-19T09:06:46.189757Z"
7818,"3","2023-12-19T09:07:09.741285Z",10465,"/data/upload/54/d236195b-CAM04_20231114_151451958.jpg","[{""x"":12.822246414864821,""y"":54.289628536107905,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.451089083420705,""y"":54.59342049976834,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":17.81399750545981,""y"":39.55521366076306,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",18.873,"2023-12-19T09:07:09.741301Z"
7819,"3","2023-12-19T09:07:29.772901Z",10466,"/data/upload/54/17d15c46-CAM04_20231114_151452521.jpg","[{""x"":12.845744779008191,""y"":54.2868279787307,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.51470615372854,""y"":54.555497150579235,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":17.228410644787456,""y"":39.30852164817474,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",16.802,"2023-12-19T09:07:29.772919Z"
7820,"3","2023-12-19T09:09:23.426203Z",10467,"/data/upload/54/59406aab-CAM04_20231114_151452665.jpg","[{""x"":12.748325369556158,""y"":54.306993097908574,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.5684131534413,""y"":54.57566226975712,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.448262842529058,""y"":39.530188646239026,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",14.057,"2023-12-19T09:09:23.426219Z"
7821,"3","2023-12-19T09:09:36.040601Z",10468,"/data/upload/54/2b322a75-CAM04_20231114_151453119.jpg","[{""x"":12.878490543517215,""y"":54.3567556940035,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.56826822803987,""y"":54.57879633189485,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.206648723420784,""y"":39.64656343370135,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",9.253,"2023-12-19T09:09:36.040616Z"
7822,"3","2023-12-19T09:09:52.613758Z",10469,"/data/upload/54/6437fdf8-CAM04_20231114_151453359.jpg","[{""x"":12.837611429947954,""y"":54.38971758082049,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.580720156112896,""y"":54.573222240234834,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.755636696060467,""y"":39.434087838551655,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",12.03,"2023-12-19T09:09:52.613775Z"
7823,"3","2023-12-19T09:10:06.506794Z",10470,"/data/upload/54/fe2f80be-CAM04_20231114_151453601.jpg","[{""x"":12.75338162666747,""y"":54.345084555745046,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.513934764518,""y"":54.528268082005404,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.256396808910477,""y"":39.568280104075484,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.786,"2023-12-19T09:10:06.506811Z"
7824,"3","2023-12-19T09:10:18.241931Z",10471,"/data/upload/54/b73718b1-CAM04_20231114_151453870.jpg","[{""x"":12.809966481472731,""y"":54.32885610228199,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.54137678560001,""y"":54.550896740173336,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.09649204177167,""y"":39.50764352303417,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.449,"2023-12-19T09:10:18.241947Z"
7825,"3","2023-12-19T09:10:32.135615Z",10472,"/data/upload/54/c5025228-CAM04_20231114_151454119.jpg","[{""x"":12.875741681065001,""y"":54.40498915983992,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.54470305578534,""y"":54.5881726861003,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.966593929222185,""y"":39.44500118191001,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",10.595,"2023-12-19T09:10:32.135630Z"
7826,"3","2023-12-19T09:10:45.767525Z",10473,"/data/upload/54/e661584c-CAM04_20231114_151454387.jpg","[{""x"":12.793594209664793,""y"":54.34852896226062,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.540143648193755,""y"":54.60084786895534,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.092291250253904,""y"":39.20939456057746,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.855,"2023-12-19T09:10:45.767539Z"
7827,"3","2023-12-19T09:11:07.196244Z",10474,"/data/upload/54/8b9b8b22-CAM04_20231114_151454580.jpg","[{""x"":12.810185755121742,""y"":54.49347999040571,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.47914712984208,""y"":54.49347999040571,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.905617591435433,""y"":39.71667553873616,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",17.505,"2023-12-19T09:11:07.196260Z"
7828,"3","2023-12-19T09:11:19.838307Z",10475,"/data/upload/54/6993a50f-CAM04_20231114_151454827.jpg","[{""x"":12.921535858125429,""y"":54.380606867678814,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.54470135128067,""y"":54.624851569359315,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.188062238110962,""y"":39.4206188897489,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.462,"2023-12-19T09:11:19.838322Z"
7829,"3","2023-12-19T09:11:36.650563Z",10476,"/data/upload/54/3bfee9ae-CAM04_20231114_151455060.jpg","[{""x"":12.7677728337538,""y"":54.332640538878316,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.582448377090344,""y"":54.49917101729683,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.138380762750906,""y"":39.28938732173914,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",9.402,"2023-12-19T09:11:36.650580Z"
7830,"3","2023-12-19T09:11:54.059271Z",10477,"/data/upload/54/b46d9248-CAM04_20231114_151455286.jpg","[{""x"":12.809943666754048,""y"":54.354567773275086,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.632188777291425,""y"":54.606886679969804,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.05483660744835,""y"":39.417288496947684,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",11.802,"2023-12-19T09:11:54.059288Z"
7831,"3","2023-12-19T09:12:07.303566Z",10478,"/data/upload/54/bd7463d1-CAM04_20231114_151455483.jpg","[{""x"":12.887400278003138,""y"":54.31561890546489,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.618810582130415,""y"":54.59316970282908,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":17.80004939134933,""y"":39.27236568832571,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",9.74,"2023-12-19T09:12:07.303581Z"
7832,"3","2023-12-19T09:12:18.617990Z",10479,"/data/upload/54/d74c2b07-CAM04_20231114_151455710.jpg","[{""x"":12.800180741859869,""y"":54.424525234271,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.54328946802481,""y"":54.56215372883177,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.787020255252756,""y"":39.377143162295006,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.312,"2023-12-19T09:12:18.618005Z"
7833,"3","2023-12-19T09:12:32.146552Z",10480,"/data/upload/54/96ef30d0-CAM04_20231114_151455953.jpg","[{""x"":12.81549027424433,""y"":54.388270145869264,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.5998875487775,""y"":54.59012527122504,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.83329619891339,""y"":39.35006330686399,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.191,"2023-12-19T09:12:32.146581Z"
7834,"3","2023-12-19T09:12:51.323977Z",10481,"/data/upload/54/11b14d73-CAM04_20231114_151456161.jpg","[{""x"":12.917628656629873,""y"":54.27650490902486,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.64903896075716,""y"":54.609565865861875,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.287419456138068,""y"":39.56631264872271,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",10.857,"2023-12-19T09:12:51.323992Z"
7835,"3","2023-12-19T09:13:05.734300Z",10482,"/data/upload/54/2dedadbb-CAM04_20231114_151456404.jpg","[{""x"":12.83843757182126,""y"":54.30904257351874,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.5577744162632,""y"":54.64487903832941,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.084995817299752,""y"":39.666572707773454,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",9.737,"2023-12-19T09:13:05.734315Z"
7836,"3","2023-12-19T09:13:19.022787Z",10483,"/data/upload/54/049a065d-CAM04_20231114_151456588.jpg","[{""x"":12.819231360836511,""y"":54.3383650057001,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.59227428456842,""y"":54.56040564359144,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.68943072508916,""y"":39.461642266979425,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",9.329,"2023-12-19T09:13:19.022802Z"
7837,"3","2023-12-19T09:13:33.750272Z",10484,"/data/upload/54/f2c37155-CAM04_20231114_151456793.jpg","[{""x"":12.803424081145959,""y"":54.33201506849768,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.49320176566861,""y"":54.60956586586189,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.257297249352323,""y"":39.34427201083136,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",10.263,"2023-12-19T09:13:33.750287Z"
7838,"3","2023-12-19T09:13:46.054183Z",10485,"/data/upload/54/13b2ba26-CAM04_20231114_151456992.jpg","[{""x"":12.786176116923828,""y"":54.33961594646135,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.60085166026037,""y"":54.561656584352704,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.448212383153333,""y"":39.35187288879501,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.302,"2023-12-19T09:13:46.054198Z"
